"AnnualRefresh","Area","CompanyAltName","CompanyName","Degree","EquitySchedule","Experience","ExperienceLevel","GreenCard","JobFunction","JobType","Level","OtherOffer","PositionType","PostTime","PostTitle","PostUser","PromotionPkg","RelocationFee","Satisfaction","Season","Source","SpiderTime","URL","Year","_type"
"-","Greater New York Area","-","Bloomberg","硕士","-","fresh grad 无实习/全职","fresh grad应届毕业生","-","码农类General","全职","-","Boston中型电商 110k +7.5k签字费","IC (Individual Contributor 技术岗，不管人)","null","Bloomberg new grads - low ball如何argue","Senge","-","10k","去","7-9月","内推","1.53887225786E12","http://www.1point3acres.com/bbs/thread-441770-1-1.html","2018","TrailItem"
"187500","BayArea","-","Snapchat","硕士","25*4","3-5年","在职跳槽","-","MachineLearningEng","全职","-","没有谈判余地。比目前工资高20%～30%, 有其余差不多的package","IC (Individual Contributor 技术岗，不管人)","null","snap标准包","6339287","-","?","考虑中","7-9月","内推","1.538872259009E12","http://www.1point3acres.com/bbs/thread-438375-1-1.html","2018","TrailItem"
"-","BayArea","-","Apple","博士","4年","5-10年","在职跳槽","已有","工程类","全职","-","没有","IC (Individual Contributor 技术岗，不管人)","null","果家的硬件offer，跟软件真是没法比","rosstalent","-","本地","虽然不太满意，但是还是比现在公司高一些。","1-3月","内推","1.538872259032E12","http://www.1point3acres.com/bbs/thread-349502-1-1.html","2018","TrailItem"
"-","Greater Seattle Area","-","Microsoft","硕士","25 25 25 25","1-3年","在职跳槽","-","码农类General","全职","61","-","IC (Individual Contributor 技术岗，不管人)","null","Microsoft诚意包","songyangUSTC","-","-","不去","4-6月","猎头","1.538872259719E12","http://www.1point3acres.com/bbs/thread-431953-1-1.html","2018","TrailItem"
"-","Southern California","-","Snapchat","博士","10,20,30,40","3-5年","在职跳槽","-","码农类General","全职","4","-","IC (Individual Contributor 技术岗，不管人)","null","Snap 标准包","bingjie3216","-","-","Yes","7-9月","内推","1.53887226067E12","http://www.1point3acres.com/bbs/thread-356739-1-1.html","2017","TrailItem"
"-","BayArea","-","Facebook","本科","1/4","<3个月短暂实习/全职","fresh grad应届毕业生","-","码农类General","全职","3","-","IC (Individual Contributor 技术岗，不管人)","null","fb new grad 求建议(西雅图vs湾区)","cheng子说啥说","-","-","-","7-9月","实习ReturnOffer","1.538872261627E12","http://www.1point3acres.com/bbs/thread-442247-1-1.html","2018","TrailItem"
"-","BayArea","Wish","-","硕士","25%","1-3年","在职跳槽","-","码农类General","全职","4","Google, Pinterest, Amazon","IC (Individual Contributor 技术岗，不管人)","null","Wish 诚意包","堕落的猴子","-","-","满意，不去","10-12月","猎头","1.538872261665E12","http://www.1point3acres.com/bbs/thread-318926-1-1.html","2017","TrailItem"
"-","BayArea","-","阿里巴巴","硕士","0 50 25 25","3-5年","在职跳槽","入职就办","码农类General","全职","8","无","IC (Individual Contributor 技术岗，不管人)","null","阿里巴巴湾区包","倒序浏览","-","-","-","7-9月","猎头","1.538872261756E12","http://www.1point3acres.com/bbs/thread-441962-1-1.html","2018","TrailItem"
"-","Greater Seattle Area","-","Zillow","硕士","第一年25%后面好像是季度","3-5年","在职跳槽","-","码农类General","全职","-","nordstrom","IC (Individual Contributor 技术岗，不管人)","null","西雅图 zillow offer","superspyjxqy","-","$10000","打算去","7-9月","Other","1.538872262087E12","http://www.1point3acres.com/bbs/thread-444714-1-1.html","2018","TrailItem"
"-","Greater Seattle Area","-","Amazon","硕士","5/15/40/40","<3个月短暂实习/全职","fresh grad应届毕业生","-","MachineLearningEng","全职","4","-","IC (Individual Contributor 技术岗，不管人)","null","Amazon Applied Scientist Return Offer","sean51623","-","10000","-","7-9月","实习ReturnOffer","1.538872262496E12","http://www.1point3acres.com/bbs/thread-443180-1-1.html","2018","TrailItem"
"-","Greater Boston Area","Wayfair, Roblox, Indeed, Qualtrics, Bloomberg","Wayfair","硕士","4y","5-10年","在职跳槽","不需要","码农类General","全职","-","谈后的价格，使用当前工资谈","IC (Individual Contributor 技术岗，不管人)","null","2018夏秋找非主流工作总结","bobogreat","-","-","-","7-9月","网上海投","1.538872263248E12","http://www.1point3acres.com/bbs/thread-444878-1-1.html","2018","TrailItem"
"Based on performance","BayArea","-","Apple","硕士","every 6 mon / 4 yr","3-5年","在职跳槽","进去就给办","电路/电子/半导体类","全职","-","低于目前","IC (Individual Contributor 技术岗，不管人)","null","郭嘉包袱求鉴定","LittleXuanXuan","-","-","可能不去，略微纠结","7-9月","猎头","1.538872264355E12","http://www.1point3acres.com/bbs/thread-445180-1-1.html","2018","TrailItem"
"-","BayArea","-","Nvidia","博士","25% - 25% - 25% -25%","3个月-1年","fresh grad应届毕业生","-","码农类General","全职","-","无","IC (Individual Contributor 技术岗，不管人)","null","Nvidia return offer package","zhangkaial","-","1.2k","还好，可去可不去","4-6月","实习ReturnOffer","1.538872264706E12","http://www.1point3acres.com/bbs/thread-444629-1-1.html","2018","TrailItem"
